ISO code,Country,"Ischaemic Heart Disease Incidence (per 100,000)","Stroke Incidence (per 100,000)","Diabetes Incidence (per 100,000)"
AT,Austria,150,120,400
BE,Belgium,130,110,450
BG,Bulgaria,250,200,500
CH,Switzerland,100,90,350
CY,Cyprus,180,150,550
CZ,Czech Republic,220,180,600
DE,Germany,160,140,500
DK,Denmark,140,120,400
EE,Estonia,200,170,550
EL,Greece,170,140,650
ES,Spain,110,90,500
FI,Finland,190,160,450
FR,France,100,95,400
HR,Croatia,210,180,550
HU,Hungary,240,200,600
IE,Ireland,120,100,450
IS,Iceland,130,110,400
IT,Italy,140,120,500
LT,Lithuania,230,190,600
LU,Luxembourg,200,170,550
LV,Latvia,110,95,400
MT,Malta,220,190,600
NL,Netherlands,150,130,450
NO,Norway,100,85,400
PL,Poland,170,140,500
PT,Portugal,210,180,550
RO,Romania,180,150,500
SE,Sweden,200,170,600
SI,Slovenia,120,100,450
SK,Slovakia,160,140,550
