"datenquelle";"quelle";"metrik";"bevoelkerung_all";"bevoelkerung_major";"exponierteGesamt_all";"exponierteGesamt_major";"AnzKartierteGemeinden_all";"AnzKartierteGemeinden_major";"bundesland_name"
"Bundesland";"Straße";"lden";"1658130";"4733230";"688104";"667358";"6";"419";"Hessen"
"Bundesland";"Straße";"lnight";"1658130";"4733230";"514053";"434819";"6";"419";"Hessen"
"Bundesland";"Flug";"lden";NA;"2060291";NA;"354060";NA;"33";"Hessen"
"Bundesland";"Flug";"lnight";NA;"2060291";NA;"77240";NA;"33";"Hessen"
"Bundesland";"Industrie";"lden";NA;"1658130";NA;"6336";NA;"6";"Hessen"
"Bundesland";"Industrie";"lnight";NA;"1658130";NA;"4806";NA;"6";"Hessen"
"Bundesland";"Straße";"lden";NA;"8248390";NA;"1426309";NA;"779";"Baden-Württemberg"
"Bundesland";"Straße";"lnight";NA;"8248390";NA;"842372";NA;"779";"Baden-Württemberg"
"Bundesland";"Flug";"lden";NA;"902104";NA;"27187";NA;"10";"Baden-Württemberg"
"Bundesland";"Flug";"lnight";NA;"902104";NA;"5398";NA;"10";"Baden-Württemberg"
"Bundesland";"Straße";"lden";NA;"5884908";NA;"815900";NA;"542";"Niedersachsen"
"Bundesland";"Straße";"lnight";NA;"5884908";NA;"523700";NA;"542";"Niedersachsen"
"EEA";"Straße";"lden";"465812";"465812";"143300";"72400";"2";"2";"Schleswig-Holstein"
"EEA";"Straße";"lnight";"465812";"465812";"97300";"44700";"2";"2";"Schleswig-Holstein"
"EEA";"Flug";"lden";"465812";"465812";"0";"0";"2";"2";"Schleswig-Holstein"
"EEA";"Flug";"lnight";"465812";"465812";"0";"0";"2";"2";"Schleswig-Holstein"
"EEA";"Schiene";"lden";"465812";"465812";"5500";"4100";"2";"2";"Schleswig-Holstein"
"EEA";"Schiene";"lnight";"465812";"465812";"3500";"3000";"2";"2";"Schleswig-Holstein"
"EEA";"Straße";"lden";"1892122";"1892122";"628900";"449100";"1";"1";"Freie und Hansestadt Hamburg"
"EEA";"Straße";"lnight";"1892122";"1892122";"448400";"331700";"1";"1";"Freie und Hansestadt Hamburg"
"EEA";"Flug";"lden";"1892122";"1892122";"65500";"65500";"1";"1";"Freie und Hansestadt Hamburg"
"EEA";"Flug";"lnight";"1892122";"1892122";"7600";"7600";"1";"1";"Freie und Hansestadt Hamburg"
"EEA";"Schiene";"lden";"1892122";"1892122";"117300";"79700";"1";"1";"Freie und Hansestadt Hamburg"
"EEA";"Schiene";"lnight";"1892122";"1892122";"86300";"58400";"1";"1";"Freie und Hansestadt Hamburg"
"EEA";"Straße";"lden";"1357849";"1357849";"519100";"304400";"6";"6";"Niedersachsen"
"EEA";"Straße";"lnight";"1357849";"1357849";"328500";"197000";"6";"6";"Niedersachsen"
"EEA";"Flug";"lden";"1357849";"1357849";"0";"0";"6";"6";"Niedersachsen"
"EEA";"Flug";"lnight";"1357849";"1357849";"0";"0";"6";"6";"Niedersachsen"
"EEA";"Schiene";"lden";"1357849";"1357849";"114200";"55400";"6";"6";"Niedersachsen"
"EEA";"Schiene";"lnight";"1357849";"1357849";"83700";"43400";"6";"6";"Niedersachsen"
"EEA";"Straße";"lden";"684864";"684864";"356600";"230300";"2";"2";"Freie Hansestadt Bremen"
"EEA";"Straße";"lnight";"684864";"684864";"263500";"167000";"2";"2";"Freie Hansestadt Bremen"
"EEA";"Flug";"lden";"684864";"684864";"10700";"0";"2";"2";"Freie Hansestadt Bremen"
"EEA";"Flug";"lnight";"684864";"684864";"100";"0";"2";"2";"Freie Hansestadt Bremen"
"EEA";"Schiene";"lden";"684864";"684864";"96800";"45500";"2";"2";"Freie Hansestadt Bremen"
"EEA";"Schiene";"lnight";"684864";"684864";"73000";"33500";"2";"2";"Freie Hansestadt Bremen"
"EEA";"Straße";"lden";"7897742";"7897742";"3885600";"2183900";"26";"26";"Nordrhein-Westfalen"
"EEA";"Straße";"lnight";"7897742";"7897742";"2820700";"1553900";"26";"26";"Nordrhein-Westfalen"
"EEA";"Flug";"lden";"7897742";"7897742";"147900";"146600";"26";"26";"Nordrhein-Westfalen"
"EEA";"Flug";"lnight";"7897742";"7897742";"79700";"79600";"26";"26";"Nordrhein-Westfalen"
"EEA";"Schiene";"lden";"7897742";"7897742";"752600";"359800";"26";"26";"Nordrhein-Westfalen"
"EEA";"Schiene";"lnight";"7897742";"7897742";"587500";"277300";"26";"26";"Nordrhein-Westfalen"
"EEA";"Straße";"lden";"1658130";"1658130";"687900";"491000";"6";"6";"Hessen"
"EEA";"Straße";"lnight";"1658130";"1658130";"514000";"357100";"6";"6";"Hessen"
"EEA";"Flug";"lden";"1658130";"1658130";"208100";"208100";"6";"6";"Hessen"
"EEA";"Flug";"lnight";"1658130";"1658130";"41000";"41000";"6";"6";"Hessen"
"EEA";"Schiene";"lden";"1658130";"1658130";"164700";"100200";"6";"6";"Hessen"
"EEA";"Schiene";"lnight";"1658130";"1658130";"116800";"79300";"6";"6";"Hessen"
"EEA";"Straße";"lden";"510085";"510085";"231800";"148900";"3";"3";"Rheinland-Pfalz"
"EEA";"Straße";"lnight";"510085";"510085";"169900";"108200";"3";"3";"Rheinland-Pfalz"
"EEA";"Flug";"lden";"510085";"510085";"25900";"25200";"3";"3";"Rheinland-Pfalz"
"EEA";"Flug";"lnight";"510085";"510085";"0";"0";"3";"3";"Rheinland-Pfalz"
"EEA";"Schiene";"lden";"510085";"510085";"58600";"41600";"3";"3";"Rheinland-Pfalz"
"EEA";"Schiene";"lnight";"510085";"510085";"44100";"35300";"3";"3";"Rheinland-Pfalz"
"EEA";"Straße";"lden";"2158197";"2158197";"732400";"374200";"9";"9";"Baden-Württemberg"
"EEA";"Straße";"lnight";"2158197";"2158197";"485500";"234400";"9";"9";"Baden-Württemberg"
"EEA";"Flug";"lden";"2158197";"2158197";"0";"0";"9";"9";"Baden-Württemberg"
"EEA";"Flug";"lnight";"2158197";"2158197";"0";"0";"9";"9";"Baden-Württemberg"
"EEA";"Schiene";"lden";"2158197";"2158197";"250300";"82700";"9";"9";"Baden-Württemberg"
"EEA";"Schiene";"lnight";"2158197";"2158197";"178700";"62800";"9";"9";"Baden-Württemberg"
"EEA";"Straße";"lden";"3010827";"3010827";"1137300";"950500";"8";"8";"Freistaat Bayern"
"EEA";"Straße";"lnight";"3010827";"3010827";"786200";"660700";"8";"8";"Freistaat Bayern"
"EEA";"Flug";"lden";"3010827";"3010827";"3900";"0";"8";"8";"Freistaat Bayern"
"EEA";"Flug";"lnight";"3010827";"3010827";"1000";"0";"8";"8";"Freistaat Bayern"
"EEA";"Schiene";"lden";"3010827";"3010827";"305900";"160600";"8";"8";"Freistaat Bayern"
"EEA";"Schiene";"lnight";"3010827";"3010827";"231900";"124800";"8";"8";"Freistaat Bayern"
"EEA";"Straße";"lden";"181959";"181959";"72000";"43600";"1";"1";"Saarland"
"EEA";"Straße";"lnight";"181959";"181959";"54500";"31100";"1";"1";"Saarland"
"EEA";"Flug";"lden";"181959";"181959";"0";"0";"1";"1";"Saarland"
"EEA";"Flug";"lnight";"181959";"181959";"0";"0";"1";"1";"Saarland"
"EEA";"Schiene";"lden";"181959";"181959";"17100";"10300";"1";"1";"Saarland"
"EEA";"Schiene";"lnight";"181959";"181959";"13800";"7900";"1";"1";"Saarland"
"EEA";"Straße";"lden";"3755251";"3755251";"1172900";"927400";"1";"1";"Berlin"
"EEA";"Straße";"lnight";"3755251";"3755251";"941900";"741500";"1";"1";"Berlin"
"EEA";"Flug";"lden";"3755251";"3755251";"8800";"8800";"1";"1";"Berlin"
"EEA";"Flug";"lnight";"3755251";"3755251";"1300";"1300";"1";"1";"Berlin"
"EEA";"Schiene";"lden";"3755251";"3755251";"352600";"217500";"1";"1";"Berlin"
"EEA";"Schiene";"lnight";"3755251";"3755251";"252100";"165200";"1";"1";"Berlin"
"EEA";"Straße";"lden";"185750";"185750";"77400";"41500";"1";"1";"Brandenburg"
"EEA";"Straße";"lnight";"185750";"185750";"54100";"27900";"1";"1";"Brandenburg"
"EEA";"Flug";"lden";"185750";"185750";"0";"0";"1";"1";"Brandenburg"
"EEA";"Flug";"lnight";"185750";"185750";"0";"0";"1";"1";"Brandenburg"
"EEA";"Schiene";"lden";"185750";"185750";"23500";"7300";"1";"1";"Brandenburg"
"EEA";"Schiene";"lnight";"185750";"185750";"15000";"4900";"1";"1";"Brandenburg"
"EEA";"Straße";"lden";"209920";"209920";"55500";"40100";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"Straße";"lnight";"209920";"209920";"34100";"25800";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"Flug";"lden";"209920";"209920";"0";"0";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"Flug";"lnight";"209920";"209920";"0";"0";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"Schiene";"lden";"209920";"209920";"25500";"3600";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"Schiene";"lnight";"209920";"209920";"19800";"2300";"1";"1";"Mecklenburg-Vorpommern"
"EEA";"Straße";"lden";"1427967";"1427967";"469100";"297400";"3";"3";"Freistaat Sachsen"
"EEA";"Straße";"lnight";"1427967";"1427967";"350400";"215900";"3";"3";"Freistaat Sachsen"
"EEA";"Flug";"lden";"1427967";"1427967";"3500";"1600";"3";"3";"Freistaat Sachsen"
"EEA";"Flug";"lnight";"1427967";"1427967";"1400";"1400";"3";"3";"Freistaat Sachsen"
"EEA";"Schiene";"lden";"1427967";"1427967";"190300";"37500";"3";"3";"Freistaat Sachsen"
"EEA";"Schiene";"lnight";"1427967";"1427967";"135600";"26700";"3";"3";"Freistaat Sachsen"
"EEA";"Straße";"lden";"481447";"481447";"218000";"96500";"2";"2";"Sachsen-Anhalt"
"EEA";"Straße";"lnight";"481447";"481447";"146900";"66300";"2";"2";"Sachsen-Anhalt"
"EEA";"Flug";"lden";"481447";"481447";"500";"500";"2";"2";"Sachsen-Anhalt"
"EEA";"Flug";"lnight";"481447";"481447";"300";"300";"2";"2";"Sachsen-Anhalt"
"EEA";"Schiene";"lden";"481447";"481447";"56500";"14300";"2";"2";"Sachsen-Anhalt"
"EEA";"Schiene";"lnight";"481447";"481447";"40900";"10900";"2";"2";"Sachsen-Anhalt"
