"gemeinde_kennziffer";"l_untergrenze";"exponierte";"l_zentral";"metrik";"quelle";"kartierungsumfang";"datenquelle";"bundesland_kreis_code";"Bundesland_Code";"Kreis_Code";"Kreis_Name"
"06411000";"55";"22107";"57";"lden";"Straße";"all";"Bundesland";"06411";"06";"411";"Darmstadt, Wissenschaftsstadt"
"06411000";"60";"14321";"62";"lden";"Straße";"all";"Bundesland";"06411";"06";"411";"Darmstadt, Wissenschaftsstadt"
"06411000";"65";"13137";"67";"lden";"Straße";"all";"Bundesland";"06411";"06";"411";"Darmstadt, Wissenschaftsstadt"
"06411000";"70";"9238";"72";"lden";"Straße";"all";"Bundesland";"06411";"06";"411";"Darmstadt, Wissenschaftsstadt"
"06411000";"75";"1013";"77";"lden";"Straße";"all";"Bundesland";"06411";"06";"411";"Darmstadt, Wissenschaftsstadt"
"06411000";"50";"17072";"52";"lnight";"Straße";"all";"Bundesland";"06411";"06";"411";"Darmstadt, Wissenschaftsstadt"
"06411000";"55";"13978";"57";"lnight";"Straße";"all";"Bundesland";"06411";"06";"411";"Darmstadt, Wissenschaftsstadt"
"06411000";"60";"10199";"62";"lnight";"Straße";"all";"Bundesland";"06411";"06";"411";"Darmstadt, Wissenschaftsstadt"
"06411000";"65";"1547";"67";"lnight";"Straße";"all";"Bundesland";"06411";"06";"411";"Darmstadt, Wissenschaftsstadt"
"06411000";"70";"2";"72";"lnight";"Straße";"all";"Bundesland";"06411";"06";"411";"Darmstadt, Wissenschaftsstadt"
"06412000";"55";"114848";"57";"lden";"Straße";"all";"Bundesland";"06412";"06";"412";"Frankfurt am Main, Stadt"
"06412000";"60";"88104";"62";"lden";"Straße";"all";"Bundesland";"06412";"06";"412";"Frankfurt am Main, Stadt"
"06412000";"65";"82236";"67";"lden";"Straße";"all";"Bundesland";"06412";"06";"412";"Frankfurt am Main, Stadt"
"06412000";"70";"32435";"72";"lden";"Straße";"all";"Bundesland";"06412";"06";"412";"Frankfurt am Main, Stadt"
"06412000";"75";"2425";"77";"lden";"Straße";"all";"Bundesland";"06412";"06";"412";"Frankfurt am Main, Stadt"
"06412000";"50";"100125";"52";"lnight";"Straße";"all";"Bundesland";"06412";"06";"412";"Frankfurt am Main, Stadt"
"06412000";"55";"93586";"57";"lnight";"Straße";"all";"Bundesland";"06412";"06";"412";"Frankfurt am Main, Stadt"
"06412000";"60";"42424";"62";"lnight";"Straße";"all";"Bundesland";"06412";"06";"412";"Frankfurt am Main, Stadt"
"06412000";"65";"3822";"67";"lnight";"Straße";"all";"Bundesland";"06412";"06";"412";"Frankfurt am Main, Stadt"
