"gemeinde_kennziffer";"name_stadt_gemeinde";"geoschluessel_stellen";"metrik";"l_untergrenze";"exponierte";"l_zentral";"bundesland_code";"quelle";"kartierungsumfang";"datenquelle";"gemeinde_bezeichnung";"gemeinde_kennzeichnung";"bevoelkerung";"flaeche"
"06411000";"Darmstadt";"6";"lden";"55";"22107";"57";"06";"Straße";"all";"Bundesland";"Darmstadt, Wissenschaftsstadt";"Kreisfreie Stadt";"167029";"12207"
"06411000";"Darmstadt";"6";"lden";"60";"14321";"62";"06";"Straße";"all";"Bundesland";"Darmstadt, Wissenschaftsstadt";"Kreisfreie Stadt";"167029";"12207"
"06411000";"Darmstadt";"6";"lden";"65";"13137";"67";"06";"Straße";"all";"Bundesland";"Darmstadt, Wissenschaftsstadt";"Kreisfreie Stadt";"167029";"12207"
"06411000";"Darmstadt";"6";"lden";"70";"9238";"72";"06";"Straße";"all";"Bundesland";"Darmstadt, Wissenschaftsstadt";"Kreisfreie Stadt";"167029";"12207"
"06411000";"Darmstadt";"6";"lden";"75";"1013";"77";"06";"Straße";"all";"Bundesland";"Darmstadt, Wissenschaftsstadt";"Kreisfreie Stadt";"167029";"12207"
"06411000";"Darmstadt";"6";"lnight";"50";"17072";"52";"06";"Straße";"all";"Bundesland";"Darmstadt, Wissenschaftsstadt";"Kreisfreie Stadt";"167029";"12207"
"06411000";"Darmstadt";"6";"lnight";"55";"13978";"57";"06";"Straße";"all";"Bundesland";"Darmstadt, Wissenschaftsstadt";"Kreisfreie Stadt";"167029";"12207"
"06411000";"Darmstadt";"6";"lnight";"60";"10199";"62";"06";"Straße";"all";"Bundesland";"Darmstadt, Wissenschaftsstadt";"Kreisfreie Stadt";"167029";"12207"
"06411000";"Darmstadt";"6";"lnight";"65";"1547";"67";"06";"Straße";"all";"Bundesland";"Darmstadt, Wissenschaftsstadt";"Kreisfreie Stadt";"167029";"12207"
"06411000";"Darmstadt";"6";"lnight";"70";"2";"72";"06";"Straße";"all";"Bundesland";"Darmstadt, Wissenschaftsstadt";"Kreisfreie Stadt";"167029";"12207"
"06412000";"Frankfurt am Main";"6";"lden";"55";"114848";"57";"06";"Straße";"all";"Bundesland";"Frankfurt am Main, Stadt";"Kreisfreie Stadt";"756021";"24831"
"06412000";"Frankfurt am Main";"6";"lden";"60";"88104";"62";"06";"Straße";"all";"Bundesland";"Frankfurt am Main, Stadt";"Kreisfreie Stadt";"756021";"24831"
"06412000";"Frankfurt am Main";"6";"lden";"65";"82236";"67";"06";"Straße";"all";"Bundesland";"Frankfurt am Main, Stadt";"Kreisfreie Stadt";"756021";"24831"
"06412000";"Frankfurt am Main";"6";"lden";"70";"32435";"72";"06";"Straße";"all";"Bundesland";"Frankfurt am Main, Stadt";"Kreisfreie Stadt";"756021";"24831"
"06412000";"Frankfurt am Main";"6";"lden";"75";"2425";"77";"06";"Straße";"all";"Bundesland";"Frankfurt am Main, Stadt";"Kreisfreie Stadt";"756021";"24831"
"06412000";"Frankfurt am Main";"6";"lnight";"50";"100125";"52";"06";"Straße";"all";"Bundesland";"Frankfurt am Main, Stadt";"Kreisfreie Stadt";"756021";"24831"
"06412000";"Frankfurt am Main";"6";"lnight";"55";"93586";"57";"06";"Straße";"all";"Bundesland";"Frankfurt am Main, Stadt";"Kreisfreie Stadt";"756021";"24831"
"06412000";"Frankfurt am Main";"6";"lnight";"60";"42424";"62";"06";"Straße";"all";"Bundesland";"Frankfurt am Main, Stadt";"Kreisfreie Stadt";"756021";"24831"
"06412000";"Frankfurt am Main";"6";"lnight";"65";"3822";"67";"06";"Straße";"all";"Bundesland";"Frankfurt am Main, Stadt";"Kreisfreie Stadt";"756021";"24831"
"06412000";"Frankfurt am Main";"6";"lnight";"70";"526";"72";"06";"Straße";"all";"Bundesland";"Frankfurt am Main, Stadt";"Kreisfreie Stadt";"756021";"24831"
"06413000";"Offenbach am Main";"6";"lden";"55";"16806";"57";"06";"Straße";"all";"Bundesland";"Offenbach am Main, Stadt";"Kreisfreie Stadt";"132746";"4488"
"06413000";"Offenbach am Main";"6";"lden";"60";"9661";"62";"06";"Straße";"all";"Bundesland";"Offenbach am Main, Stadt";"Kreisfreie Stadt";"132746";"4488"
"06413000";"Offenbach am Main";"6";"lden";"65";"9580";"67";"06";"Straße";"all";"Bundesland";"Offenbach am Main, Stadt";"Kreisfreie Stadt";"132746";"4488"
"06413000";"Offenbach am Main";"6";"lden";"70";"10139";"72";"06";"Straße";"all";"Bundesland";"Offenbach am Main, Stadt";"Kreisfreie Stadt";"132746";"4488"
