Gemeindekennziffer_lang;Gemeindekennziffer_kurz;Bundesland_Code;Kreis_Code;Gemeinde_Name
010010000;0010000;01;001;Flensburg, Stadt
010020000;0020000;01;002;Kiel, Landeshauptstadt
010030000;0030000;01;003;Lübeck, Hansestadt
010040000;0040000;01;004;Neumünster, Stadt
010510015;0510015;01;051;Albersdorf
010510025;0510025;01;051;Arkebek
010510035;0510035;01;051;Averlak
010510045;0510045;01;051;Bargenstedt
010510055;0510055;01;051;Barkenholm
010510065;0510065;01;051;Barlt
010510085;0510085;01;051;Bergewöhrden
010510105;0510105;01;051;Brickeln
010510110;0510110;01;051;Brunsbüttel, Stadt
010510125;0510125;01;051;Buchholz
010510135;0510135;01;051;Büsum
010510145;0510145;01;051;Büsumer Deichhausen
010510155;0510155;01;051;Bunsoh
010510165;0510165;01;051;Burg (Dithmarschen)
010510175;0510175;01;051;Busenwurth
010510195;0510195;01;051;Dellstedt
010510205;0510205;01;051;Delve
010510215;0510215;01;051;Diekhusen-Fahrstedt
010510225;0510225;01;051;Dingen
010510235;0510235;01;051;Dörpling
010510245;0510245;01;051;Eddelak
010510265;0510265;01;051;Eggstedt
010510275;0510275;01;051;Elpersbüttel
010510285;0510285;01;051;Epenwöhrden
010510305;0510305;01;051;Fedderingen
010510325;0510325;01;051;Frestedt
010510335;0510335;01;051;Friedrichsgabekoog
010510345;0510345;01;051;Friedrichskoog
010510355;0510355;01;051;Gaushorn
010510365;0510365;01;051;Glüsing
010510375;0510375;01;051;Großenrade
010510385;0510385;01;051;Groven
010510395;0510395;01;051;Gudendorf
010510435;0510435;01;051;Hedwigenkoog
010510440;0510440;01;051;Heide, Stadt
010510455;0510455;01;051;Hellschen-Heringsand-Unterschaar
010510465;0510465;01;051;Helse
010510475;0510475;01;051;Hemme
010510485;0510485;01;051;Hemmingstedt
010510495;0510495;01;051;Hennstedt
010510505;0510505;01;051;Hillgroven
010510515;0510515;01;051;Hochdonn
010510525;0510525;01;051;Hövede
010510535;0510535;01;051;Hollingstedt
010510545;0510545;01;051;Immenstedt
010510575;0510575;01;051;Kaiser-Wilhelm-Koog
010510585;0510585;01;051;Karolinenkoog
010510605;0510605;01;051;Kleve
010510615;0510615;01;051;Krempel
010510625;0510625;01;051;Kronprinzenkoog
010510635;0510635;01;051;Krumstedt
010510645;0510645;01;051;Kuden
010510655;0510655;01;051;Lehe
010510675;0510675;01;051;Lieth
010510685;0510685;01;051;Linden
010510695;0510695;01;051;Lohe-Rickelshof
010510715;0510715;01;051;Lunden
010510725;0510725;01;051;Marne, Stadt
010510735;0510735;01;051;Marnerdeich
010510745;0510745;01;051;Meldorf, Stadt
010510755;0510755;01;051;Neuenkirchen
010510765;0510765;01;051;Neufeld
010510775;0510775;01;051;Neufelderkoog
010510785;0510785;01;051;Nindorf
010510795;0510795;01;051;Norddeich
010510805;0510805;01;051;Norderheistedt
010510815;0510815;01;051;Norderwöhrden
010510825;0510825;01;051;Nordhastedt
010510835;0510835;01;051;Odderade
010510845;0510845;01;051;Oesterdeichstrich
010510855;0510855;01;051;Offenbüttel
010510865;0510865;01;051;Osterrade
010510875;0510875;01;051;Ostrohe
010510885;0510885;01;051;Pahlen
010510895;0510895;01;051;Quickborn
010510905;0510905;01;051;Ramhusen
010510925;0510925;01;051;Rehm-Flehde-Bargen
010510935;0510935;01;051;Reinsbüttel
010510965;0510965;01;051;Sankt Annen
010510975;0510975;01;051;Sankt Michaelisdonn
010510985;0510985;01;051;Sarzbüttel
010510995;0510995;01;051;Schafstedt
010511005;0511005;01;051;Schalkholz
