ISO code,Country,Fraction 25-29 dB,Fraction 30-34 dB,Fraction 35-39 dB,Fraction 40-44 dB,Fraction 45-49 dB
AT,Austria,0.007424,0.027485,0.127368,0.350639,0.487085
BE,Belgium,0.008036,0.029548,0.132636,0.354183,0.475597
BG,Bulgaria,0.006215,0.023104,0.111736,0.340635,0.51831
CH,Switzerland,0.007253,0.026912,0.129207,0.36005,0.476579
CY,Cyprus,0.015229,0.056268,0.243336,0.406928,0.27824
CZ,Czech Republic,0.009319,0.034735,0.164259,0.384039,0.407648
DE,Germany,0.008599,0.031837,0.149939,0.377951,0.431674
DK,Denmark,0.010259,0.038105,0.17414,0.3852,0.392296
EE,Estonia,0.007814,0.029077,0.140375,0.369646,0.453088
EL,Greece,0.006275,0.023244,0.106243,0.320486,0.543753
ES,Spain,0.007467,0.02744,0.118613,0.332258,0.514222
FI,Finland,0.009168,0.034092,0.16149,0.3856,0.409651
FR,France,0.00868,0.03235,0.151849,0.368954,0.438168
HR,Croatia,0.008055,0.030103,0.14539,0.372088,0.444364
HU,Hungary,0.00897,0.033317,0.158219,0.383204,0.416291
IE,Ireland,0.007889,0.029262,0.139985,0.375211,0.447653
IS,Iceland,0.008913,0.033479,0.167651,0.395313,0.394645
IT,Italy,0.008556,0.031561,0.142035,0.361768,0.45608
LT,Lithuania,0.008704,0.032408,0.149727,0.36575,0.443412
LU,Luxembourg,0.006472,0.024077,0.120487,0.365855,0.483109
LV,Latvia,0.009512,0.035507,0.166823,0.382995,0.405164
MT,Malta,0.007053,0.026031,0.123304,0.36126,0.482351
NL,Netherlands,0.007959,0.029541,0.142377,0.376853,0.443271
NO,Norway,0.009736,0.036262,0.169872,0.385903,0.398227
PL,Poland,0.008644,0.032152,0.15288,0.379392,0.426932
PT,Portugal,0.007054,0.025856,0.11401,0.337499,0.515582
RO,Romania,0.007391,0.027239,0.124028,0.348914,0.492428
SE,Sweden,0.010589,0.039467,0.177881,0.381533,0.39053
SI,Slovenia,0.008478,0.031417,0.14792,0.374699,0.437486
SK,Slovakia,0.010256,0.038421,0.178915,0.388492,0.383917
